KO,Importance,Class,name,description,pathway,brites,Share(+),Only_one(+),Neither(+),Share(-),Only_one(-),Neither(-)
ko:K02970,0.001512714,tetracycline,"['RP-S21, MRPS21, rpsU']",small subunit ribosomal protein S21,{'ko03010': 'Ribosome'},"['KEGG Orthology (KO) [BR:ko00001]', '             Genetic Information Processing', '              Translation', '               03010 Ribosome', '                K02970  RP-S21, MRPS21, rpsU; small subunit ribosomal protein S21', '            KEGG modules [BR:ko00002]', '             Structural complex', '              Genetic information processing', '               Ribosome', '                M00178  Ribosome, bacteria', '                 K02970  RP-S21, MRPS21, rpsU; small subunit ribosomal protein S21', '            Ribosome [BR:ko03011]', '             Ribosomal Proteins', '              Mitochondria/ Chloroplast', '               Small subunit', '                K02970  RP-S21, MRPS21, rpsU; small subunit ribosomal protein S21', '              Bacteria', '               Small subunit', '                K02970  RP-S21, MRPS21, rpsU; small subunit ribosomal protein S21']",72.55555556,22.55555556,4.888888889,84.44444444,12.44444444,3.111111111
ko:K03724,0.00150059,tetracycline,['lhr'],ATP-dependent helicase Lhr and Lhr-like helicase [EC:3.6.4.-],,"['Enzymes [BR:ko01000]', '             3. Hydrolases', '              3.6  Acting on acid anhydrides', '               3.6.4  Acting on acid anhydrides to facilitate cellular and subcellular movement', '                3.6.4.-  ', '                 K03724  lhr; ATP-dependent helicase Lhr and Lhr-like helicase', '            DNA repair and recombination proteins [BR:ko03400]', '             Prokaryotic Type', '              Other factors with a suspected DNA repair function', '               DNA helicases', '                K03724  lhr; ATP-dependent helicase Lhr and Lhr-like helicase']",2.666666667,16.88888889,80.44444444,2.444444444,7,90.55555556
ko:K19505,0.00148716,tetracycline,['gfrR'],"sigma-54 dependent transcriptional regulator, gfr operon transcriptional activator",,"['Transcription factors [BR:ko03000]', '             Prokaryotic Type', '              Helix-turn-helix', '               Other families', '                K19505  gfrR; sigma-54 dependent transcriptional regulator, gfr operon transcriptional activator']",0,0.444444444,99.55555556,0.888888889,6.111111111,93
ko:K00179,0.001462475,tetracycline,['iorA'],"indolepyruvate ferredoxin oxidoreductase, alpha subunit [EC:1.2.7.8]",,"['Enzymes [BR:ko01000]', '             1. Oxidoreductases', '              1.2  Acting on the aldehyde or oxo group of donors', '               1.2.7  With an iron-sulfur protein as acceptor', '                1.2.7.8  indolepyruvate ferredoxin oxidoreductase', '                 K00179  iorA; indolepyruvate ferredoxin oxidoreductase, alpha subunit']",27.22222222,36.55555556,36.22222222,18.55555556,26.33333333,55.11111111
ko:K10563,0.001446188,tetracycline,"['mutM, fpg']",formamidopyrimidine-DNA glycosylase [EC:3.2.2.23 4.2.99.18],{'ko03410': 'Base excision repair'},"['KEGG Orthology (KO) [BR:ko00001]', '             Genetic Information Processing', '              Replication and repair', '               03410 Base excision repair', '                K10563  mutM, fpg; formamidopyrimidine-DNA glycosylase', '            Enzymes [BR:ko01000]', '             3. Hydrolases', '              3.2  Glycosylases', '               3.2.2  Hydrolysing N-glycosyl compounds', '                3.2.2.23  DNA-formamidopyrimidine glycosylase', '                 K10563  mutM, fpg; formamidopyrimidine-DNA glycosylase', '             4. Lyases', '              4.2  Carbon-oxygen lyases', '               4.2.99  Other carbon-oxygen lyases', '                4.2.99.18  DNA-(apurinic or apyrimidinic site) lyase', '                 K10563  mutM, fpg; formamidopyrimidine-DNA glycosylase', '            DNA repair and recombination proteins [BR:ko03400]', '             Prokaryotic Type', '              SSBR (single strand breaks repair)', '               BER (base exicision repair)', '                DNA glycosylases', '                 K10563  mutM, fpg; formamidopyrimidine-DNA glycosylase']",8.444444444,37.77777778,53.77777778,11.44444444,24.11111111,64.44444444
ko:K03698,0.001443043,tetracycline,"['cbf, cbf1']",3'-5' exoribonuclease [EC:3.1.-.-],,"['Enzymes [BR:ko01000]', '             3. Hydrolases', '              3.1  Acting on ester bonds', '               3.1.-  Acting on ester bonds', '                3.1.-.-  ', ""                 K03698  cbf, cbf1; 3'-5' exoribonuclease"", '            Messenger RNA biogenesis [BR:ko03019]', '             Prokaryotic Type', '              Bacterial mRNA degradation factors', '               RNA degradosome components', '                Ribonucreases', ""                 K03698  cbf, cbf1; 3'-5' exoribonuclease""]",29.88888889,23.55555556,46.55555556,59.55555556,8.222222222,32.22222222
ko:K07171,0.001394762,tetracycline,"['mazF, ndoA, chpA']",mRNA interferase MazF [EC:3.1.-.-],,"['Enzymes [BR:ko01000]', '             3. Hydrolases', '              3.1  Acting on ester bonds', '               3.1.-  Acting on ester bonds', '                3.1.-.-  ', '                 K07171  mazF, ndoA, chpA; mRNA interferase MazF', '            Prokaryotic defense system [BR:ko02048]', '             Toxin-antitoxin system (TA system)', '              Type II TA system', '               MazF-MazE', '                K07171  mazF, ndoA, chpA; mRNA interferase MazF']",42.11111111,31,26.88888889,63.66666667,14.66666667,21.66666667
ko:K01547,0.001378328,tetracycline,['kdpB'],K+-transporting ATPase ATPase B chain [EC:3.6.3.12],{'ko02020': 'Two-component system'},"['KEGG Orthology (KO) [BR:ko00001]', '             Environmental Information Processing', '              Signal transduction', '               02020 Two-component system', '                K01547  kdpB; K+-transporting ATPase ATPase B chain', '            Enzymes [BR:ko01000]', '             3. Hydrolases', '              3.6  Acting on acid anhydrides', '               3.6.3  Acting on acid anhydrides to catalyse transmembrane movement of substances', '                3.6.3.12  K+-transporting ATPase', '                 K01547  kdpB; K+-transporting ATPase ATPase B chain']",26.22222222,37.77777778,36,17.11111111,26.33333333,56.55555556
ko:K20492,0.001377204,tetracycline,"['nisG, spaG, cprC']",lantibiotic transport system permease protein,"{'ko02024': 'Quorum sensing', 'ko02010': 'ABC transporters', 'ko02020': 'Two-component system'}","['KEGG Orthology (KO) [BR:ko00001]', '             Environmental Information Processing', '              Membrane transport', '               02010 ABC transporters', '                K20492  nisG, spaG, cprC; lantibiotic transport system permease protein', '              Signal transduction', '               02020 Two-component system', '                K20492  nisG, spaG, cprC; lantibiotic transport system permease protein', '             Cellular Processes', '              Cellular community - prokaryotes', '               02024 Quorum sensing', '                K20492  nisG, spaG, cprC; lantibiotic transport system permease protein', '            KEGG modules [BR:ko00002]', '             Structural complex', '              Environmental information processing', '               ABC-2 type and other transport systems', '                M00817  Lantibiotic transport system', '                 K20492  nisG, spaG, cprC; lantibiotic transport system permease protein', '            Transporters [BR:ko02000]', '             ABC Transporters, Prokaryotic Type', '              ABC-2 type and other transporters', '               Lantibiotic transporter [OT]', '                K20492  nisG, spaG, cprC; lantibiotic transport system permease protein']",8.333333333,28.22222222,63.44444444,25.11111111,27.88888889,47
ko:K06872,0.0013621,tetracycline,['K06872'],uncharacterized protein,,,20.77777778,32.11111111,47.11111111,13.22222222,35.44444444,51.33333333
ko:K09922,0.001352483,tetracycline,['K09922'],uncharacterized protein,,,29,8.666666667,62.33333333,19.22222222,8.222222222,72.55555556
ko:K01267,0.001323422,tetracycline,['DNPEP'],aspartyl aminopeptidase [EC:3.4.11.21],,"['Enzymes [BR:ko01000]', '             3. Hydrolases', '              3.4  Acting on peptide bonds (peptidases)', '               3.4.11  Aminopeptidases', '                3.4.11.21  aspartyl aminopeptidase', '                 K01267  DNPEP; aspartyl aminopeptidase', '            Peptidases [BR:ko01002]', '             Metallo Peptidases', '              Family M18', '               K01267  DNPEP; aspartyl aminopeptidase', '            Membrane trafficking [BR:ko04131]', '             Autophagy', '              Cytoplasm to vacuolar targeting (CVT) pathway', '               Selective cargos', '                K01267  DNPEP; aspartyl aminopeptidase']",32.33333333,25.66666667,42,56,12.77777778,31.22222222
ko:K02009,0.001291373,tetracycline,['cbiN'],cobalt/nickel transport protein,{'ko02010': 'ABC transporters'},"['KEGG Orthology (KO) [BR:ko00001]', '             Environmental Information Processing', '              Membrane transport', '               02010 ABC transporters', '                K02009  cbiN; cobalt/nickel transport protein', '            KEGG modules [BR:ko00002]', '             Structural complex', '              Environmental information processing', '               Metallic cation, iron-siderophore and vitamin B12 transport system', '                M00245  Cobalt/nickel transport system', '                 K02009  cbiN; cobalt/nickel transport protein', '                M00246  Nickel transport system', '                 K02009  cbiN; cobalt/nickel transport protein', '            Transporters [BR:ko02000]', '             ABC Transporters, Prokaryotic Type', '              Metallic cation, iron-siderophore and vitamin B12 transporters', '               Cobalt transporter [OT]', '                K02009  cbiN; cobalt/nickel transport protein', '               Nickel transporter [OT]', '                K02009  cbiN; cobalt/nickel transport protein']",2.333333333,19.11111111,78.55555556,1.777777778,10,88.22222222
ko:K01251,0.001246158,tetracycline,"['E3.3.1.1, ahcY']",adenosylhomocysteinase [EC:3.3.1.1],"{'ko00270': 'Cysteine and methionine metabolism', 'ko01100': 'Metabolic pathways'}","['KEGG Orthology (KO) [BR:ko00001]', '             Metabolism', '              Amino acid metabolism', '               00270 Cysteine and methionine metabolism', '                K01251  E3.3.1.1, ahcY; adenosylhomocysteinase', '            KEGG modules [BR:ko00002]', '             Pathway module', '              Nucleotide and amino acid metabolism', '               Cysteine and methionine metabolism', '                M00035  Methionine degradation', '                 K01251  E3.3.1.1, ahcY; adenosylhomocysteinase', '            Enzymes [BR:ko01000]', '             3. Hydrolases', '              3.3  Acting on ether bonds', '               3.3.1  Thioether and trialkylsulfonium hydrolases', '                3.3.1.1  adenosylhomocysteinase', '                 K01251  E3.3.1.1, ahcY; adenosylhomocysteinase', '            Protein phosphatases and associated proteins [BR:ko01009]', '             Protein Ser/ Thr phosphatases', '              Phosphoprotein phosphatases (PPPs)', '               Protein phosphatase-1', '                PP1-interacting proteins (PIPs)', '                 K01251  E3.3.1.1, ahcY; adenosylhomocysteinase', '            Exosome [BR:ko04147]', '             Exosomal proteins', '              Exosomal proteins of other body fluids (saliva and urine)', '               K01251  E3.3.1.1, ahcY; adenosylhomocysteinase']",9.555555556,34.33333333,56.11111111,6.111111111,15.77777778,78.11111111
ko:K03306,0.00123587,tetracycline,['TC.PIT'],"inorganic phosphate transporter, PiT family",,,14,45.55555556,40.44444444,14.77777778,23,62.22222222
ko:K01151,0.001199458,tetracycline,['nfo'],deoxyribonuclease IV [EC:3.1.21.2],{'ko03410': 'Base excision repair'},"['KEGG Orthology (KO) [BR:ko00001]', '             Genetic Information Processing', '              Replication and repair', '               03410 Base excision repair', '                K01151  nfo; deoxyribonuclease IV', '            Enzymes [BR:ko01000]', '             3. Hydrolases', '              3.1  Acting on ester bonds', ""               3.1.21  Endodeoxyribonucleases producing 5'-phosphomonoesters"", '                3.1.21.2  deoxyribonuclease IV', '                 K01151  nfo; deoxyribonuclease IV', '            DNA repair and recombination proteins [BR:ko03400]', '             Prokaryotic Type', '              SSBR (single strand breaks repair)', '               BER (base exicision repair)', '                AP endonucleases', '                 K01151  nfo; deoxyribonuclease IV']",62.33333333,32,5.666666667,72.77777778,20.22222222,7
ko:K20491,0.001175958,tetracycline,"['nisE, spaE, cprB, epiE']",lantibiotic transport system permease protein,"{'ko02024': 'Quorum sensing', 'ko02010': 'ABC transporters', 'ko02020': 'Two-component system'}","['KEGG Orthology (KO) [BR:ko00001]', '             Environmental Information Processing', '              Membrane transport', '               02010 ABC transporters', '                K20491  nisE, spaE, cprB, epiE; lantibiotic transport system permease protein', '              Signal transduction', '               02020 Two-component system', '                K20491  nisE, spaE, cprB, epiE; lantibiotic transport system permease protein', '             Cellular Processes', '              Cellular community - prokaryotes', '               02024 Quorum sensing', '                K20491  nisE, spaE, cprB, epiE; lantibiotic transport system permease protein', '            KEGG modules [BR:ko00002]', '             Structural complex', '              Environmental information processing', '               ABC-2 type and other transport systems', '                M00817  Lantibiotic transport system', '                 K20491  nisE, spaE, cprB, epiE; lantibiotic transport system permease protein', '            Transporters [BR:ko02000]', '             ABC Transporters, Prokaryotic Type', '              ABC-2 type and other transporters', '               Lantibiotic transporter [OT]', '                K20491  nisE, spaE, cprB, epiE; lantibiotic transport system permease protein']",9,29.44444444,61.55555556,25.44444444,29.11111111,45.44444444
ko:K05337,0.001175272,tetracycline,['fer'],ferredoxin,,,2.222222222,33.44444444,64.33333333,4.222222222,19.44444444,76.33333333
ko:K15635,0.001172666,tetracycline,['apgM'],"2,3-bisphosphoglycerate-independent phosphoglycerate mutase [EC:5.4.2.12]","{'ko01130': 'Biosynthesis of antibiotics', 'ko00680': 'Methane metabolism', 'ko01200': 'Carbon metabolism', 'ko00010': 'Glycolysis / Gluconeogenesis', 'ko01100': 'Metabolic pathways', 'ko01230': 'Biosynthesis of amino acids', 'ko01120': 'Microbial metabolism in diverse environments', 'ko01110': 'Biosynthesis of secondary metabolites', 'ko00260': 'Glycine, serine and threonine metabolism'}","['KEGG Orthology (KO) [BR:ko00001]', '             Metabolism', '              Carbohydrate metabolism', '               00010 Glycolysis / Gluconeogenesis', '                K15635  apgM; 2,3-bisphosphoglycerate-independent phosphoglycerate mutase', '              Energy metabolism', '               00680 Methane metabolism', '                K15635  apgM; 2,3-bisphosphoglycerate-independent phosphoglycerate mutase', '              Amino acid metabolism', '               00260 Glycine, serine and threonine metabolism', '                K15635  apgM; 2,3-bisphosphoglycerate-independent phosphoglycerate mutase', '            KEGG modules [BR:ko00002]', '             Pathway module', '              Carbohydrate and lipid metabolism', '               Central carbohydrate metabolism', '                M00001  Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate', '                 K15635  apgM; 2,3-bisphosphoglycerate-independent phosphoglycerate mutase', '                M00002  Glycolysis, core module involving three-carbon compounds', '                 K15635  apgM; 2,3-bisphosphoglycerate-independent phosphoglycerate mutase', '                M00003  Gluconeogenesis, oxaloacetate => fructose-6P', '                 K15635  apgM; 2,3-bisphosphoglycerate-independent phosphoglycerate mutase', '            Enzymes [BR:ko01000]', '             5. Isomerases', '              5.4  Intramolecular transferases', '               5.4.2  Phosphotransferases (phosphomutases)', '                5.4.2.12  phosphoglycerate mutase (2,3-diphosphoglycerate-independent)', '                 K15635  apgM; 2,3-bisphosphoglycerate-independent phosphoglycerate mutase']",23,31.88888889,45.11111111,16.55555556,18.88888889,64.55555556
ko:K03700,0.001164552,tetracycline,['recU'],recombination protein U,,"['DNA repair and recombination proteins [BR:ko03400]', '             Prokaryotic Type', '              DSBR (double strand breaks repair)', '               HR (homologous recombination)', '                RecFOR pathway proteins', '                 K03700  recU; recombination protein U']",28.55555556,25.22222222,46.22222222,59,8.111111111,32.88888889
ko:K05879,0.001161482,tetracycline,['dhaL'],phosphoenolpyruvate---glycerone phosphotransferase subunit DhaL [EC:2.7.1.121],"{'ko00561': 'Glycerolipid metabolism', 'ko01100': 'Metabolic pathways'}","['KEGG Orthology (KO) [BR:ko00001]', '             Metabolism', '              Lipid metabolism', '               00561 Glycerolipid metabolism', '                K05879  dhaL; phosphoenolpyruvate---glycerone phosphotransferase subunit DhaL', '            Enzymes [BR:ko01000]', '             2. Transferases', '              2.7  Transferring phosphorus-containing groups', '               2.7.1  Phosphotransferases with an alcohol group as acceptor', '                2.7.1.121  phosphoenolpyruvate---glycerone phosphotransferase', '                 K05879  dhaL; phosphoenolpyruvate---glycerone phosphotransferase subunit DhaL']",4.666666667,36.44444444,58.88888889,4,24,72
ko:K01442,0.001143497,tetracycline,['E3.5.1.24'],choloylglycine hydrolase [EC:3.5.1.24],"{'ko00121': 'Secondary bile acid biosynthesis', 'ko00120': 'Primary bile acid biosynthesis', 'ko01100': 'Metabolic pathways'}","['KEGG Orthology (KO) [BR:ko00001]', '             Metabolism', '              Lipid metabolism', '               00120 Primary bile acid biosynthesis', '                K01442  E3.5.1.24; choloylglycine hydrolase', '               00121 Secondary bile acid biosynthesis', '                K01442  E3.5.1.24; choloylglycine hydrolase', '            Enzymes [BR:ko01000]', '             3. Hydrolases', '              3.5  Acting on carbon-nitrogen bonds, other than peptide bonds', '               3.5.1  In linear amides', '                3.5.1.24  choloylglycine hydrolase', '                 K01442  E3.5.1.24; choloylglycine hydrolase']",44.77777778,42.77777778,12.44444444,58.66666667,30.55555556,10.77777778
ko:K07467,0.001140909,tetracycline,['rstA1'],phage replication initiation protein,,,14.88888889,30.11111111,55,34.66666667,25.44444444,39.88888889
ko:K13640,0.00112544,tetracycline,['hspR'],"MerR family transcriptional regulator, heat shock protein HspR",,"['Transcription factors [BR:ko03000]', '             Prokaryotic Type', '              Helix-turn-helix', '               MerR family', '                K13640  hspR; MerR family transcriptional regulator, heat shock protein HspR']",2.888888889,12.11111111,85,2.222222222,2.888888889,94.88888889
ko:K04564,0.00112359,tetracycline,['SOD2'],"superoxide dismutase, Fe-Mn family [EC:1.15.1.1]","{'ko04211': 'Longevity regulating pathway', 'ko04068': 'FoxO signaling pathway', 'ko04213': 'Longevity regulating pathway - multiple species', 'ko04146': 'Peroxisome', 'ko04013': 'MAPK signaling pathway - fly', 'ko05016': ""Huntington's disease"", 'ko04212': 'Longevity regulating pathway - worm'}","['KEGG Orthology (KO) [BR:ko00001]', '             Environmental Information Processing', '              Signal transduction', '               04013 MAPK signaling pathway - fly', '                K04564  SOD2; superoxide dismutase, Fe-Mn family', '               04068 FoxO signaling pathway', '                K04564  SOD2; superoxide dismutase, Fe-Mn family', '             Cellular Processes', '              Transport and catabolism', '               04146 Peroxisome', '                K04564  SOD2; superoxide dismutase, Fe-Mn family', '             Organismal Systems', '              Aging', '               04211 Longevity regulating pathway - mammal', '                K04564  SOD2; superoxide dismutase, Fe-Mn family', '               04212 Longevity regulating pathway - worm', '                K04564  SOD2; superoxide dismutase, Fe-Mn family', '               04213 Longevity regulating pathway - multiple species', '                K04564  SOD2; superoxide dismutase, Fe-Mn family', '             Human Diseases', '              Neurodegenerative diseases', ""               05016 Huntington's disease"", '                K04564  SOD2; superoxide dismutase, Fe-Mn family', '            Enzymes [BR:ko01000]', '             1. Oxidoreductases', '              1.15  Acting on superoxide as acceptor', '               1.15.1  Acting on superoxide as acceptor (only sub-subclass identified to date)', '                1.15.1.1  superoxide dismutase', '                 K04564  SOD2; superoxide dismutase, Fe-Mn family']",33.44444444,28.11111111,38.44444444,28.55555556,14.11111111,57.33333333
ko:K06213,0.00111761,tetracycline,['mgtE'],magnesium transporter,,"['Transporters [BR:ko02000]', '             Other Transporters', '              Pores ion channels', '               K06213  mgtE; magnesium transporter']",51.66666667,37.66666667,10.66666667,73.44444444,19.44444444,7.111111111
ko:K06867,0.001116811,tetracycline,['K06867'],uncharacterized protein,,,0.222222222,6.111111111,93.66666667,1.777777778,5.222222222,93
ko:K01548,0.001099787,tetracycline,['kdpC'],K+-transporting ATPase ATPase C chain [EC:3.6.3.12],{'ko02020': 'Two-component system'},"['KEGG Orthology (KO) [BR:ko00001]', '             Environmental Information Processing', '              Signal transduction', '               02020 Two-component system', '                K01548  kdpC; K+-transporting ATPase ATPase C chain', '            Enzymes [BR:ko01000]', '             3. Hydrolases', '              3.6  Acting on acid anhydrides', '               3.6.3  Acting on acid anhydrides to catalyse transmembrane movement of substances', '                3.6.3.12  K+-transporting ATPase', '                 K01548  kdpC; K+-transporting ATPase ATPase C chain']",27.11111111,37.11111111,35.77777778,17.55555556,30.88888889,51.55555556
ko:K22041,0.001070655,tetracycline,['comR'],"TetR/AcrR family transcriptional regulator, copper-responsive repressor",,"['Transcription factors [BR:ko03000]', '             Prokaryotic Type', '              Helix-turn-helix', '               TetR/AcrR family', '                K22041  comR; TetR/AcrR family transcriptional regulator, copper-responsive repressor']",0,0,100,0,1.444444444,98.55555556
ko:K07451,0.001053047,tetracycline,['mcrA'],5-methylcytosine-specific restriction enzyme A [EC:3.1.21.-],,"['Enzymes [BR:ko01000]', '             3. Hydrolases', '              3.1  Acting on ester bonds', ""               3.1.21  Endodeoxyribonucleases producing 5'-phosphomonoesters"", '                3.1.21.-  ', '                 K07451  mcrA; 5-methylcytosine-specific restriction enzyme A', '            Prokaryotic defense system [BR:ko02048]', '             Restriction and modification system (R-M system)', '              Type IV R-M system', '               K07451  mcrA; 5-methylcytosine-specific restriction enzyme A']",2.888888889,24.44444444,72.66666667,0.777777778,16,83.22222222
ko:K07088,0.001036332,tetracycline,['K07088'],uncharacterized protein,,,38.11111111,27.88888889,34,59.44444444,17.33333333,23.22222222
